Mon May 19 23:00:41 CEST 2014: 98: finished (7788ms, 500cycles)
Mon May 19 23:00:41 CEST 2014: 98: No solution found.
Mon May 19 23:00:55 CEST 2014: 99: finished (13596ms, 500cycles)
Mon May 19 23:00:55 CEST 2014: 99: No solution found.
Mon May 19 23:00:55 CEST 2014: Solution Found: 11
Mon May 19 23:00:55 CEST 2014: Avg cycles: 152
Mon May 19 23:00:55 CEST 2014: Max cycles: 458
Mon May 19 23:00:55 CEST 2014: Min cycles: 7
Mon May 19 23:00:55 CEST 2014: No solution found: 89
Mon May 19 23:00:55 CEST 2014: logging finished. (runtime: 1246011ms)
