Fri Dec 27 17:56:43 CET 2013: 92: finished (23910ms, 2000cycles)
Fri Dec 27 17:56:43 CET 2013: 92: No solution found.
Fri Dec 27 17:57:07 CET 2013: 93: finished (23944ms, 2000cycles)
Fri Dec 27 17:57:07 CET 2013: 93: No solution found.
Fri Dec 27 17:57:31 CET 2013: 94: finished (24133ms, 2000cycles)
Fri Dec 27 17:57:31 CET 2013: 94: No solution found.
Fri Dec 27 17:57:56 CET 2013: 95: finished (25209ms, 2000cycles)
Fri Dec 27 17:57:56 CET 2013: 95: No solution found.
Fri Dec 27 17:58:21 CET 2013: 96: finished (24799ms, 2000cycles)
Fri Dec 27 17:58:21 CET 2013: 96: No solution found.
Fri Dec 27 17:58:45 CET 2013: 97: finished (23798ms, 2000cycles)
Fri Dec 27 17:58:45 CET 2013: 97: No solution found.
Fri Dec 27 17:59:08 CET 2013: 98: finished (23649ms, 2000cycles)
Fri Dec 27 17:59:08 CET 2013: 98: No solution found.
Fri Dec 27 17:59:32 CET 2013: 99: finished (24115ms, 2000cycles)
Fri Dec 27 17:59:32 CET 2013: 99: No solution found.
Fri Dec 27 17:59:32 CET 2013: Solution Found: 1 (Avg: 86)
Fri Dec 27 17:59:32 CET 2013: Max cycles: 86
Fri Dec 27 17:59:32 CET 2013: Min cycles: 86
Fri Dec 27 17:59:32 CET 2013: No solution found: 99
Fri Dec 27 17:59:32 CET 2013: logging finished. (runtime: 2245177ms)
